Timestamp;City;Gender;Age;Field_of_Study;Years_Batch;Question_6;Question_7;Question_8;TS1;TS2;TS3;TS4;TS5;TS6;TS7;PS8;PS9;PS10;PS11;CS12;CS13;CS14;CS15;CS16;DS17;DS18;DS19;DS20;IS21;IS22;IS23;IS24;IS25;COS26;COS27;COS28;Technological_Skill_AverageScore;Personal_Security_Skill_AverageScore;Critical_Skill_AverageScore;Device_Security_Skill_AverageScore;Informational_Skill_AverageScore;Communication_Skill_AverageScore;Digital_Literacy_TotalScore_exclude_item28
5/23/2023;Bojonegoro;Male;19;Physiotherapy;2022;Yes;Yes;No;3;3;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;2;2,85714285714286;4;4;4;3,4;3,5;96
5/23/2023;Jombang;Male;21;Marketing Management;2022;Yes;Yes;No;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4,42857142857143;5;5;5;5;5;131
5/23/2023;Tangerang;Female;18;Communication;2022;No;Yes;No;4;5;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;3,57142857142857;4;4;4;3,6;4;103
5/23/2023;Jombang;Male;19;Electrical Engineering;2022;Yes;Yes;No;1;3;3;5;5;5;3;1;4;3;2;4;3;3;2;5;1;1;1;1;3;5;2;3;3;3;4;3;3,57142857142857;2,5;3,4;1;3,2;3,5;79
5/23/2023;Lamongan;Male;18;Nursing;2022;Yes;Yes;No;3;4;3;2;2;2;2;4;3;4;4;4;2;2;3;2;4;3;4;2;2;2;1;4;2;4;3;2;2,57142857142857;3,75;2,6;3,25;2,2;3,5;77
5/23/2023;Lumajang;Female;19;Nursing;2022;Yes;Yes;No;3;5;5;4;5;3;5;5;4;5;5;4;4;3;4;4;5;5;5;4;2;3;3;5;2;2;5;1;4,28571428571429;4,75;3,8;4,75;3;3,5;109
5/23/2023;Pamekasan;Female;19;Accounting;2022;Yes;Yes;No;5;5;4;5;4;5;4;4;5;4;4;4;4;3;3;4;4;4;4;1;4;1;4;4;4;4;5;5;4,57142857142857;4,25;3,6;3,25;3,4;4,5;106
5/23/2023;Pasuruan;Female;18;Development Economics;2022;Yes;Yes;No;5;5;5;5;5;4;2;4;5;5;5;5;5;3;4;4;3;3;4;4;3;3;2;2;2;5;5;2;4,42857142857143;4,75;4,2;3,5;2,4;5;107
5/23/2023;Surabaya;Female;19;Islamic Economics;2022;Yes;Yes;Yes;4;5;5;3;4;3;3;3;5;4;4;4;5;3;5;4;4;4;4;4;3;3;3;3;3;4;3;3;3,85714285714286;4;4,2;4;3;3,5;102
5/23/2023;Surabaya;Female;19;Dental Technology;2022;Yes;Yes;No;4;4;5;5;4;4;3;4;4;5;5;4;4;5;5;3;5;3;4;5;5;4;4;5;4;4;5;1;4,14285714285714;4,5;4,2;4,25;4,4;4,5;116
5/23/2023;Tulungagung;Male;19;Pharmacy;2022;Yes;Yes;No;5;5;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;4;5;3;4;5;1;4,57142857142857;5;5;4,5;3,8;4,5;123
5/23/2023;Surabaya;Male;19;Data Science and Technology;2022;Yes;Yes;No;3;4;4;5;4;5;3;5;5;5;5;4;4;3;5;3;3;4;4;3;3;2;3;4;3;5;5;2;4;5;3,8;3,5;3;5;106
5/23/2023;Nganjuk;Male;19;English Literature;2022;Yes;Yes;No;4;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;3;4;4;4;4;3,4;4;105
5/23/2023;Kebumen;Female;19;English Literature;2022;Yes;Yes;No;5;4;4;4;3;5;5;5;3;5;5;5;4;3;4;4;4;3;4;3;5;3;3;3;4;4;4;1;4,28571428571429;4,5;4;3,5;3,6;4;108
5/24/2023;Kudus;Female;19;Nursing;2022;Yes;Yes;No;4;4;4;5;5;4;1;5;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3,85714285714286;4,25;4;4;3,6;4;106
5/24/2023;Bangkalan;Female;19;Nursing;2022;No;Yes;No;5;5;5;3;5;4;2;5;5;5;5;3;4;3;5;2;3;3;5;2;2;3;2;3;2;4;5;1;4,14285714285714;5;3,4;3,25;2,4;4,5;100
5/24/2023;Bondowoso;Female;18;Environmental Engineering;2022;Yes;Yes;No;5;3;4;4;4;4;3;3;3;4;4;3;3;3;3;4;3;2;3;2;3;2;3;3;2;4;4;2;3,85714285714286;3,5;3,2;2,5;2,6;4;88
5/24/2023;Tanah Laut;Male;20;Electrical Engineering;2022;Yes;Yes;No;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;4;4;3;3;3;2;2;3;4;5;3;5;5;4,6;3,75;2,6;4,5;115
5/24/2023;Pasuruan;Female;19;Dentistry;2022;Yes;Yes;No;3;4;3;3;4;3;2;4;4;3;2;3;3;2;3;2;4;3;4;3;3;2;3;3;2;4;4;3;3,14285714285714;3,25;2,6;3,5;2,6;4;83
5/24/2023;Madiun;Male;19;Library Science;2022;Yes;Yes;No;5;5;5;3;5;5;5;5;5;5;5;5;5;3;5;5;5;1;5;3;3;1;1;5;5;5;5;5;4,71428571428571;5;4,6;3,5;3;5;115
5/24/2023;Mempawah;Male;20;English Literature;2022;Yes;Yes;Yes;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;1;3,85714285714286;5;5;5;1;5;107
5/24/2023;Gresik;Female;19;Nanotechnology Engineering;2022;Yes;Yes;No;5;5;5;2;4;5;3;4;5;5;4;4;4;4;4;2;2;1;4;3;2;4;2;2;2;2;5;4;4,14285714285714;4,5;3,6;2,5;2,4;3,5;94
5/24/2023;Surabaya;Female;19;Indonesian Literature;2022;Yes;Yes;No;4;4;3;2;2;3;2;4;4;5;5;4;4;3;4;2;3;2;3;2;3;1;2;1;1;5;4;4;2,85714285714286;4,5;3,4;2,5;1,6;4,5;82
5/24/2023;Jombang;Female;18;Library Science;2022;Yes;Yes;No;3;5;4;5;4;2;2;3;4;3;4;3;3;3;3;2;3;2;3;3;1;2;2;2;3;4;4;3;3,57142857142857;3,5;2,8;2,75;2;4;82
5/24/2023;Surabaya;Female;19;Nursing;2022;Yes;Yes;No;5;5;5;5;4;4;4;4;5;5;5;5;5;5;4;4;4;3;4;4;5;5;3;4;4;3;5;2;4,57142857142857;4,75;4,6;3,75;4,2;4;118
5/24/2023;Tangerang;Female;19;Dentistry;2022;Yes;Yes;No;5;5;5;5;3;4;5;2;5;5;5;4;4;3;4;5;5;4;5;4;4;3;3;3;4;5;4;2;4,57142857142857;4,25;4;4,5;3,4;4,5;113
5/24/2023;Surabaya;Female;19;Digital Office Management;2022;Yes;Yes;No;5;5;5;5;5;5;4;5;5;5;5;5;4;4;5;4;3;3;5;3;2;1;1;1;4;5;4;3;4,85714285714286;5;4,4;3,5;1,8;4,5;108
5/24/2023;Sukoharjo;Female;19;Biology;2022;Yes;Yes;No;5;5;5;4;5;4;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;3;3;2;5;4;4;4,71428571428571;4,5;4;4;3,2;4,5;112
5/24/2023;Kediri;Female;19;Politics;2022;Yes;Yes;No;5;5;5;5;5;5;3;4;3;4;5;5;4;5;3;2;5;4;5;5;4;4;5;5;4;5;5;3;4,71428571428571;4;3,8;4,75;4,4;5;119
5/24/2023;Tuban;Male;20;Nursing;2022;No;Yes;No;4;3;4;2;4;2;4;2;4;4;4;4;4;4;3;3;4;4;2;2;4;2;2;4;2;4;4;2;3,28571428571429;3,5;3,6;3;2,8;4;89
5/24/2023;Surabaya;Female;18;Veterinary Medicine;2022;Yes;Yes;No;5;4;4;5;4;3;2;4;4;4;4;3;4;3;4;5;4;2;3;2;3;3;2;3;3;3;3;2;3,85714285714286;4;3,8;2,75;2,8;3;93
5/24/2023;Surabaya;Female;19;Accounting;2022;Yes;Yes;No;5;4;4;2;4;3;4;4;5;1;5;3;4;5;4;2;4;4;5;2;1;4;4;4;4;4;5;1;3,71428571428571;3,75;3,6;3,75;3,4;4,5;100
5/24/2023;Jakarta;Female;19;Public Administration;2022;Yes;Yes;No;5;5;5;5;5;5;4;5;4;5;5;5;5;3;5;3;4;4;3;4;5;4;4;3;4;3;4;2;4,85714285714286;4,75;4,2;3,75;4;3,5;116
5/24/2023;Surabaya;Female;19;Tourism;2022;Yes;Yes;No;3;5;3;4;5;3;3;5;5;5;5;4;4;3;2;2;2;1;1;1;3;3;3;3;3;4;4;1;3,71428571428571;5;3;1,25;3;4;89
5/24/2023;Sidoarjo;Female;19;Robotics and Artificial Intelligence Engineering;2022;Yes;Yes;No;5;5;5;4;5;4;3;4;4;4;4;5;4;3;5;2;2;4;4;3;4;4;4;3;2;5;5;2;4,42857142857143;4;3,8;3,25;3,4;5;106
5/24/2023;Malang;Female;19;International Relations;2022;Yes;Yes;Yes;5;5;5;5;5;2;3;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;2;4;2;4;4;2;4,28571428571429;4;3,8;3,75;2,8;4;102
5/24/2023;Bangkalan;Female;19;Industrial Engineering;2022;Yes;Yes;Yes;5;5;5;5;4;4;2;5;5;5;4;5;5;4;4;3;4;3;4;3;5;2;3;3;2;4;4;4;4,28571428571429;4,75;4,2;3,5;3;4;107
5/24/2023;Mataram;Male;19;Statistics;2022;Yes;Yes;No;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;4;4;5;5;3;4,85714285714286;5;5;5;3,8;5;128
5/24/2023;Surabaya;Male;18;Psychology;2022;Yes;No;No;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;5;5;5;5;3;5;5;5;5;2,8;5;124
5/24/2023;Lamongan;Female;18;Statistics;2022;Yes;Yes;No;3;5;5;4;4;5;4;5;5;5;5;5;5;5;5;3;3;2;4;3;4;2;2;3;1;3;5;1;4,28571428571429;5;4,6;3;2,4;4;105
5/24/2023;Sumenep;Male;20;Islamic Economics;2022;Yes;Yes;No;5;5;5;4;3;4;3;5;5;5;5;5;5;4;5;4;4;3;5;4;1;1;1;4;4;3;4;4;4,14285714285714;5;4,6;4;2,2;3,5;106
5/24/2023;Nganjuk;Female;19;Law;2022;Yes;Yes;No;5;5;5;5;5;4;4;5;5;5;5;5;5;4;4;4;3;4;4;4;4;3;4;3;4;3;4;3;4,71428571428571;5;4,4;3,75;3,6;3,5;115
5/24/2023;Sidoarjo;Male;19;Information Systems;2022;Yes;Yes;No;5;4;5;5;5;5;4;5;5;5;5;5;4;3;5;3;3;4;5;5;5;5;5;5;5;3;5;1;4,71428571428571;5;4;4,25;5;4;123
5/24/2023;Sidoarjo;Female;19;Statistics;2022;Yes;Yes;No;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;1;4,42857142857143;5;5;5;4,2;3;123
5/24/2023;Blitar;Female;19;Pharmacy;2022;Yes;Yes;No;4;5;5;4;4;2;3;2;5;5;5;4;4;4;3;3;3;2;4;3;3;2;3;4;4;3;4;2;3,85714285714286;4,25;3,6;3;3,2;3,5;97
5/24/2023;Banyuwangi;Male;19;History;2022;Yes;Yes;No;4;4;4;3;4;3;2;4;4;4;5;5;5;4;5;4;4;4;4;4;3;3;3;3;3;3;4;2;3,42857142857143;4,25;4,6;4;3;3,5;102
5/24/2023;Nganjuk;Female;21;Islamic Economics;2022;No;No;No;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4;5;5;4;2;2;5;3,85714285714286;5;5;5;3,8;2;115
5/24/2023;Magetan;Female;19;Medicine;2022;No;Yes;No;4;5;4;4;5;2;1;3;1;5;5;3;4;3;4;5;3;2;5;2;3;2;3;2;3;4;5;1;3,57142857142857;3,5;3,8;3;2,6;4,5;92
5/24/2023;Bondowoso;Female;19;Pharmacy;2022;Yes;Yes;No;5;5;5;3;5;5;4;5;5;5;5;5;5;5;5;5;5;3;5;2;4;2;4;4;4;2;5;1;4,57142857142857;5;5;3,75;3,6;3,5;117
5/24/2023;Pangkalan Bun;Female;19;Aquaculture;2022;Yes;Yes;No;5;5;5;4;3;3;3;5;5;4;5;4;4;2;4;4;4;4;5;2;4;4;4;4;4;3;4;3;4;4,75;3,6;3,75;4;3,5;107
5/24/2023;Kudus;Female;18;Pharmacy;2022;Yes;Yes;No;5;5;5;5;4;5;4;5;5;5;5;5;5;4;4;4;4;4;5;4;4;4;4;5;5;3;5;2;4,71428571428571;5;4,4;4,25;4,4;4;122
5/24/2023;Surakarta;Female;19;Nutrition;2022;Yes;Yes;No;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;3,8;3,5;4;3,5;104
5/24/2023;Bekasi;Female;19;Japanese Literature;2022;No;Yes;No;4;4;4;3;3;3;4;3;4;4;4;4;4;4;5;5;4;4;5;3;4;3;3;4;1;5;4;1;3,57142857142857;3,75;4,4;4;3;4,5;102
5/24/2023;Sidoarjo;Female;18;Nursing;2022;Yes;Yes;No;5;5;5;3;5;3;5;4;5;4;5;5;4;3;4;5;3;3;5;5;4;2;4;2;1;4;4;4;4,42857142857143;4,5;4,2;4;2,6;4;107
5/24/2023;Surabaya;Male;19;Aquaculture;2022;Yes;Yes;No;5;5;4;2;2;2;2;4;4;5;5;4;4;4;4;4;3;3;4;3;3;3;4;4;3;3;4;3;3,14285714285714;4,5;4;3,25;3,4;3,5;97
5/24/2023;Surabaya;Female;20;Statistics;2022;Yes;Yes;No;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;3;2;4;4;4;4;4,14285714285714;4,25;4;4;3,6;4;108
5/24/2023;Kediri;Male;20;Taxation;2022;Yes;Yes;No;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;1;5;5;5;5;5;3;131
5/24/2023;Gresik;Female;19;Nursing;2022;Yes;Yes;No;4;3;4;4;4;3;4;4;2;3;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;3;3,71428571428571;3,25;3,8;4;3,8;4;101
5/24/2023;Tuban;Female;19;Chemistry;2022;Yes;Yes;No;5;5;5;5;5;4;5;5;5;4;5;5;5;2;5;2;4;5;5;4;2;4;1;2;1;5;5;2;4,85714285714286;4,75;3,8;4,5;2;5;110
5/24/2023;Sidoarjo;Female;18;Accounting;2022;Yes;Yes; ;5;5;5;5;4;5;4;5;4;5;5;5;5;5;4;3;4;3;5;5;4;4;4;3;4;4;4;2;4,71428571428571;4,75;4,4;4,25;3,8;4;118
5/24/2023;Tuban;Male;21;Veterinary Medicine;2022;Yes;Yes;No;5;5;5;5;4;5;3;5;5;5;5;5;5;4;4;4;4;3;5;4;3;2;2;4;3;1;5;4;4,57142857142857;5;4,4;4;2,8;3;110
5/24/2023;Sidoarjo;Male;19;Statistics;2022;Yes;Yes;No;4;5;4;3;5;4;4;4;4;4;4;4;4;3;4;4;3;3;4;3;3;2;4;4;2;2;4;2;4,14285714285714;4;3,8;3,25;3;3;98
5/24/2023;Gresik;Female;19;Nursing;2022;Yes;Yes;No;5;4;4;4;5;4;3;4;4;4;4;4;4;3;4;3;3;3;4;4;4;3;3;4;2;3;5;1;4,14285714285714;4;3,6;3,5;3,2;4;101
5/24/2023;Surabaya;Female;20;English Literature;2022;Yes;Yes;No;5;5;5;5;3;4;3;2;4;4;5;4;4;4;3;4;3;3;4;3;4;3;3;4;4;4;4;3;4,28571428571429;3,75;3,8;3,25;3,6;4;103
5/24/2023;Tuban;Male;19;Occupational Health and Safety;2022;Yes;Yes;No;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;3;3;5;5;1;4;3;2;3;3;5;1;4,71428571428571;5;5;4;2,6;4;115
5/24/2023;Salatiga;Female;18;Veterinary Medicine;2022;Yes;Yes;No;4;5;4;4;4;4;3;4;4;4;4;4;4;3;4;3;3;4;4;3;4;4;4;4;4;4;4;2;4;4;3,6;3,5;4;4;104
5/24/2023;Sidoarjo;Female;19;Public Health;2022;Yes;Yes;No;3;4;4;4;4;4;2;2;2;4;5;4;4;3;3;2;4;4;3;2;2;1;3;2;4;4;4;2;3,57142857142857;3,25;3,2;3,25;2,4;4;87
5/24/2023;Jepara;Female;19;Nursing;2022;Yes;Yes;No;5;5;5;4;3;4;4;3;2;5;4;4;4;3;3;3;2;1;3;3;4;4;3;3;3;4;4;3;4,28571428571429;3,5;3,4;2,25;3,4;4;95
5/24/2023;Pemalang;Male;20;Communication;2022;Yes;Yes;No;5;5;4;4;5;3;4;4;4;5;5;4;4;3;4;3;4;4;5;3;4;1;2;4;3;4;5;2;4,28571428571429;4,5;3,6;4;2,8;4,5;105
5/24/2023;Surabaya;Female;19;Psychology;2022;Yes;Yes;No;5;4;4;4;4;4;4;5;3;5;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;2;4,14285714285714;4,25;4;4;3,6;4;108
5/24/2023;Tulungagung;Female;18;Management;2022;Yes;Yes;No;5;3;4;3;4;4;4;3;5;4;5;5;4;4;4;4;4;3;4;4;3;3;4;4;3;2;5;2;3,85714285714286;4,25;4,2;3,75;3,4;3,5;104
5/24/2023;Bontang;Female;18;Nutrition;2022;No;Yes;No;3;4;4;4;3;4;1;4;4;4;4;3;4;4;4;5;3;1;4;4;4;3;3;2;1;4;3;4;3,28571428571429;4;4;3;2,6;3,5;91
5/24/2023;Surabaya;Female;19;Public Health;2022;Yes;Yes;No;5;5;5;3;3;5;3;5;5;5;5;5;5;5;5;4;4;4;5;3;5;3;3;5;4;5;4;3;4,14285714285714;5;4,8;4;4;4,5;118
5/24/2023;Lamongan;Male;19;Public Administration;2022;No;Yes;No;2;2;2;2;2;4;4;2;2;2;2;2;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2,57142857142857;2;3;3;3;3;74
5/24/2023;Sumenep;Male;18;Public Administration;2022;Yes;Yes;Yes;4;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;4;2;3,42857142857143;4;4;4;2;4;94
5/24/2023;Sidoarjo;Male;19;Veterinary Medicine;2022;No;Yes;No;4;3;4;2;5;3;3;2;3;4;3;2;4;5;3;3;1;1;2;3;2;3;2;3;5;3;3;1;3,42857142857143;3;3,4;1,75;3;3;81
5/24/2023;Bangkalan;Female;18;Nursing;2022;Yes;Yes;No;3;5;5;3;4;4;2;4;4;4;5;4;4;4;4;3;4;3;3;3;4;2;3;2;2;4;5;1;3,71428571428571;4,25;3,8;3,25;2,6;4,5;97
5/24/2023;Probolinggo;Female;19;Public Health;2022;Yes;Yes;No;4;4;4;4;3;4;3;4;4;4;4;4;4;3;4;3;3;3;4;3;4;3;4;4;3;4;4;3;3,71428571428571;4;3,6;3,25;3,6;4;99
5/24/2023;Kediri;Female;20;Library Science;2022;Yes;Yes;No;4;5;5;5;5;4;3;4;5;4;5;4;4;4;4;3;3;2;3;4;2;2;2;2;2;5;5;1;4,42857142857143;4,5;3,8;3;2;5;100
5/24/2023;Tangerang;Female;19;Pharmacy;2022;Yes;Yes;Yes;4;4;3;2;3;4;4;4;3;4;3;3;3;3;2;2;2;2;3;3;3;3;3;3;4;3;4;2;3,42857142857143;3,5;2,6;2,5;3,2;3,5;84
5/25/2023;Tuban;Female;19;Fishery Product Technology;2022;Yes;Yes;No;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;2;4;3,5;4;3;3,6;4;100
5/25/2023;Sidoarjo;Female;18;Statistics;2022;Yes;Yes;No;4;5;5;4;4;4;3;4;4;4;5;5;4;4;3;4;5;2;4;3;4;3;3;3;3;4;4;3;4,14285714285714;4,25;4;3,5;3,2;4;104
5/25/2023;Sidoarjo;Female;19;Taxation;2022;Yes;Yes;No;4;4;4;4;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;4;1;1;4;4;4;3;5;2;3,85714285714286;5;5;4,75;2,8;4;113
5/25/2023;Serang;Male;18;Accounting;2022;Yes;Yes;No;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;4;4;5;5;2;5;4;3;2;1;5;4;3;4,85714285714286;5;4,4;4;3;4,5;116
5/25/2023;Surabaya;Female;18;Pharmacy;2022;Yes;Yes;No;5;5;5;4;5;4;3;4;4;4;5;4;4;4;4;4;4;4;4;4;3;2;2;2;2;2;5;2;4,42857142857143;4,25;4;4;2,2;3,5;102
5/25/2023;Sidoarjo;Male;19;Islamic Economics;2022;Yes;Yes;No;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;4;5;4;4;4;4;2;5;1;4,71428571428571;5;5;4;4,2;3,5;122
5/25/2023;Jombang;Female;20;Marketing Management;2022;Yes;Yes;No;4;2;5;5;5;4;4;4;5;5;4;4;5;2;4;4;4;4;5;3;4;2;2;4;2;5;5;2;4,14285714285714;4,5;3,8;4;2,8;5;106
5/25/2023;Gresik;Female;19;Dental Technology;2022;Yes;Yes;No;4;4;4;4;4;3;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;3;4;3;3,85714285714286;3,75;3,8;3,75;4;3,5;103
5/25/2023;Surabaya;Female;18;Medicine;2022;Yes;Yes;No;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;3;5;3;3,85714285714286;5;5;5;4,2;4;121
5/25/2023;Bangkalan;Male;19;Public Health;2022;No;Yes;No;3;5;5;2;5;4;4;5;5;5;5;4;3;3;3;3;4;4;5;3;3;2;3;5;3;3;5;2;4;5;3,2;4;3,2;4;104
5/25/2023;Bojonegoro;Female;20;Industrial Engineering;2022;Yes;Yes;No;4;5;5;4;5;4;2;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3;4;4;3;4;4;3;4,14285714285714;4;4;3,5;3,6;4;105
